E, eV	P1	P2	P3	E	P4
7.99665509902603	0.0415646245924609	0.0407972368973751	0.0427250087199163	6.70007	0.0426598610411533
8.09665509902603	0.0412747984369602	0.0411068332789626	0.0428279734914545	6.80007	0.0432956299492625
8.19665509902603	0.0410027417497672	0.04128140480474	0.0428129752354377	6.90007	0.0438856359062796
8.29665509902603	0.0407858316883565	0.0412897259044945	0.0426521799790722	7.00007	0.0444490114454296
8.39665509902603	0.0405664706658	0.0411281936278169	0.0423226369026857	7.10007	0.0450085087683854
8.49665509902603	0.0403180044796361	0.0408164526328906	0.04182246250436	7.20007	0.0455630936841618
8.59665509902603	0.0400775039171963	0.0403838412301902	0.0411702825252878	7.30007	0.0460796720812346
8.69665509902603	0.0398210721073082	0.039856695271516	0.0403936519009418	7.40007	0.0465109297220341
8.79665509902603	0.0395079618209216	0.0392529437243802	0.039518660620858	7.50007	0.0468118792987072
8.89665509902603	0.0391651336306412	0.0385847679925473	0.0385711893965818	7.60007	0.0469476168655056
8.99665509902603	0.0388422194996711	0.0378638347725801	0.0375841646320195	7.70007	0.0468915120045623
9.09665509902603	0.0385618908186107	0.0371024970373102	0.0365984652947332	7.80007	0.0466262420168762
9.19665509902603	0.0382840130986962	0.036311563637965	0.0356514823857691	7.90007	0.0461556851186417
9.29665509902603	0.0378851191722037	0.0354950664476214	0.0347621206836414	8.00007	0.0455137110646218
9.39665509902603	0.0373223172190803	0.0346506892838736	0.0339252877572375	8.10007	0.0447595272887151
9.49665509902603	0.0366679105931294	0.0337768880251176	0.0331233344959888	8.20007	0.0439528583203131
9.59665509902603	0.0360453664620751	0.0328850720143157	0.0323433554237879	8.30007	0.0431226615069993
9.69665509902603	0.0354957384251108	0.0320077535896841	0.0315873735612138	8.40007	0.0422616975118779
9.79665509902603	0.0349598970445921	0.03119365836628	0.0308690617370073	8.50007	0.0413495410629926
